HouseholdSurvey.earninc_hihsp,HouseholdSurvey.hihage,HouseholdSurvey.hihgender,HouseholdSurvey.hihecon,HouseholdSurvey.specon,HouseholdSurvey.age_1,HouseholdSurvey.hhwork,HouseholdSurvey.hedqual8,HouseholdSurvey.nssec2,HouseholdSurvey.seg,HouseholdSurvey.tothinc,HouseholdSurvey.ha7_1,HouseholdSurvey.hb509,HouseholdSurvey.save1,HouseholdSurvey.credit109a,HouseholdSurvey.credit309c,HouseholdSurvey.hcost_amt,HouseholdSurvey.hk2
60000,48,1,2,NA,10,1,4,1,5,8,2,1,NA,NA,NA,1000,1
0,67,1,5,5,14,5,4,2,2,6,5,2,NA,NA,NA,NA,2
13000,22,1,2,6,5,4,NA,1,4,3,2,1,3,0,0,400,2
0,75,2,5,NA,15,2,5,9,17,5,5,2,NA,NA,NA,NA,1
24000,63,1,13,NA,13,2,3,4,12,8,1,2,3,1,0,NA,4
0,72,2,5,5,15,5,1,9,17,6,5,2,3,0,0,NA,1
0,72,2,5,NA,15,2,5,9,17,4,5,4,NA,NA,NA,400,5
0,69,1,5,5,14,5,4,9,17,3,5,2,3,0,0,NA,3
59000,50,2,2,2,10,3,3,1,1,8,2,2,3,0,0,NA,1
62000,52,1,2,3,11,3,2,1,4,8,3,2,NA,NA,NA,NA,2
49000,29,2,2,2,6,3,3,3,6,8,2,1,NA,NA,NA,490,3
0,62,1,6,NA,13,2,2,9,17,5,6,2,NA,NA,NA,NA,2
62000,44,1,2,NA,9,1,4,2,6,8,2,2,3,0,0,NA,1
25000,53,1,1,NA,11,1,2,4,2,5,1,4,3,1,0,550,3
0,76,1,5,5,16,5,5,9,17,3,5,2,3,0,0,NA,2
0,52,1,10,NA,11,2,4,9,17,3,10,4,3,0,0,500,5
62000,44,1,1,2,9,3,4,4,12,8,1,1,NA,NA,NA,1000,2
28000,51,1,2,3,11,3,6,7,11,6,2,1,NA,NA,NA,700,3
45000,49,1,2,3,10,3,4,1,4,8,2,1,3,0,0,550,2
0,53,2,13,NA,11,2,6,7,11,2,13,4,NA,NA,NA,350,5
0,67,1,5,5,14,5,4,1,4,5,5,2,3,1,0,NA,1
23000,27,2,1,2,7,3,1,4,12,5,2,4,NA,NA,NA,350,4
23000,49,1,2,3,10,3,3,3,6,5,2,4,3,0,0,400,2
0,79,2,5,NA,16,2,6,9,17,3,5,3,3,1,0,330,3
0,23,2,4,NA,5,2,6,9,17,3,4,4,1,0,0,350,4
0,26,1,8,NA,6,2,4,9,17,NA,8,4,NA,NA,NA,680,3
17000,38,2,2,NA,8,1,2,3,6,5,2,4,1,1,0,400,4
0,83,1,5,5,17,5,6,9,17,4,5,4,NA,NA,NA,390,3
0,70,1,5,NA,14,2,4,9,17,5,5,2,3,0,0,NA,2
20000,50,2,2,NA,10,1,1,2,2,5,2,1,3,0,0,570,1
60000,38,1,2,2,8,3,NA,2,5,8,2,1,3,1,0,700,3
0,79,1,5,5,16,5,3,9,17,4,5,2,NA,NA,NA,NA,1
0,74,2,5,5,15,5,5,9,17,7,5,2,3,0,0,NA,2
38000,56,1,2,1,12,3,1,5,9,7,2,2,NA,NA,NA,NA,3
0,81,2,5,5,17,5,2,9,17,5,5,2,NA,NA,NA,NA,2
