TotalEarnings,Age,Gender,EconomicStatus,PartnersEconomicStatus,AgeBand,WorkingStatus,HighestEducationalLevel,EmploymentType,SocioEconomicGroup,AnnualNetHouseholdIncome,EmploymentStatus,PropertyType,TotalSavings,CreditCardDebt,LoanDebt,HousingCostMonthly,FinancialHealth,EconomicStat,PartnerEconomicStat,Occupation
13000,22,Male,2,6,21-25,"Couple, one works",NA,1,Professional workers - employees,£10001 -£15000,2,Buying with mortgage/loan,"£1,000 or more",No,No,400,Manage quite well,Full-Time,Unemployed,Higher managerial and professional occupations
24000,63,Male,13,NA,61-65,Non-Working Single,HNC/HND (SVQ Level 4),4,Own account workers (other than professional),£40001,1,Own it outright,"£1,000 or more",Yes,No,NA,Don't manage very well,NA,NA,Small employers and own account workers
59000,50,Female,2,2,46-50,Working Couple,HNC/HND (SVQ Level 4),1,Employers and managers - large establishments,£40001,2,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Full-Time,Full-Time,Higher managerial and professional occupations
62000,44,Male,2,NA,41-45,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),2,Junior non-manual workers,£40001,2,Own it outright,"£1,000 or more",No,No,NA,Manage very well,Full-Time,NA,Lower managerial and professional occupations
25000,53,Male,1,NA,51-55,Single Working Adult,Highers and A-Levels (SVQ Level 3),4,Employers and managers - small establishments,£20001 - £25000,1,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,550,Get by alright,Self-Employed,NA,Small employers and own account workers
0,52,Male,10,NA,51-55,Non-Working Single,Degree and Professional Qualifications (SVQ Level 4),9,Inadequately described and not stated,£10001 -£15000,10,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,500,Have some financial difficulties,Disabled,NA,Not classified
45000,49,Male,2,3,46-50,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,550,Manage quite well,Full-Time,Part-Time,Higher managerial and professional occupations
23000,49,Male,2,3,46-50,Working Couple,HNC/HND (SVQ Level 4),3,Junior non-manual workers,£20001 - £25000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,400,Manage quite well,Full-Time,Part-Time,Intermediate occupations
0,23,Female,4,NA,21-25,Non-Working Single,No Qualifications,9,Inadequately described and not stated,£10001 -£15000,4,Rents (including rents paid by housing benefit),No savings,No,No,350,Don't manage very well,Homemaker,NA,Not classified
17000,38,Female,2,NA,36-40,Single Working Adult,Highers and A-Levels (SVQ Level 3),3,Junior non-manual workers,£20001 - £25000,2,Rents (including rents paid by housing benefit),No savings,Yes,No,400,Don't manage very well,Full-Time,NA,Intermediate occupations
20000,50,Female,2,NA,46-50,Single Working Adult,Standard Grade (SVQ Level 1 and 2),2,Employers and managers - small establishments,£20001 - £25000,2,Buying with mortgage/loan,"£1,000 or more",No,No,570,Manage very well,Full-Time,NA,Lower managerial and professional occupations
60000,38,Male,2,2,36-40,Working Couple,NA,2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,700,Get by alright,Full-Time,Full-Time,Lower managerial and professional occupations
48000,46,Male,2,3,41-45,Working Couple,Degree and Professional Qualifications (SVQ Level 4),3,Junior non-manual workers,£40001,3,Buying with mortgage/loan,"£1,000 or more",Yes,No,900,Manage quite well,Full-Time,Part-Time,Intermediate occupations
38000,56,Male,2,3,56-60,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Intermediate non-manual workers,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,1000,Manage quite well,Full-Time,Part-Time,Higher managerial and professional occupations
48000,37,Male,2,2,26-30,Working Couple,Degree and Professional Qualifications (SVQ Level 4),3,Skilled manual workers,£40001,2,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,700,Get by alright,Full-Time,Full-Time,Intermediate occupations
62000,33,Male,2,2,26-30,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,500,Manage very well,Full-Time,Full-Time,Lower managerial and professional occupations
52000,30,Male,2,NA,26-30,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),5,Semi-skilled manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,500,Manage very well,Full-Time,NA,Lower supervisory and technical occupations
0,23,Female,8,NA,21-25,Non-Working Single,Highers and A-Levels (SVQ Level 3),6,Semi-skilled manual workers,£6001 - £10000,8,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,480,Manage very well,Student,NA,Semi-routine occupations
50000,30,Male,2,NA,26-30,Single Working Adult,HNC/HND (SVQ Level 4),5,Skilled manual workers,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,900,Manage quite well,Full-Time,NA,Lower supervisory and technical occupations
19000,27,Male,2,4,26-30,"Couple, one works",Degree and Professional Qualifications (SVQ Level 4),7,Personal service workers,£20001 - £25000,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,600,Manage very well,Full-Time,Homemaker,Routine occupations
32000,41,Male,2,2,41-45,Working Couple,Standard Grade (SVQ Level 1 and 2),7,Skilled manual workers,£30001 - £40000,2,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,350,Manage very well,Full-Time,Full-Time,Routine occupations
13000,40,Female,2,NA,36-40,Single Working Adult,No Qualifications,6,Semi-skilled manual workers,£10001 -£15000,2,Rents (including rents paid by housing benefit),No savings,No,No,370,Get by alright,Full-Time,NA,Semi-routine occupations
24000,37,Male,2,4,31-35,"Couple, one works",Standard Grade (SVQ Level 1 and 2),5,Foremen and supervisors,£25001 - £30000,4,Buying with mortgage/loan,"£1,000 or more",Yes,No,520,Manage quite well,Full-Time,Homemaker,Lower supervisory and technical occupations
33000,36,Male,1,NA,36-40,Single Working Adult,Highers and A-Levels (SVQ Level 3),4,Own account workers (other than professional),£30001 - £40000,1,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,390,Get by alright,Self-Employed,NA,Small employers and own account workers
32000,36,Male,2,2,36-40,Working Couple,Degree and Professional Qualifications (SVQ Level 4),5,Foremen and supervisors,£30001 - £40000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,330,Manage very well,Full-Time,Full-Time,Lower supervisory and technical occupations
62000,49,Male,2,2,46-50,Working Couple,Highers and A-Levels (SVQ Level 3),2,Own account workers (other than professional),£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,1000,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
0,20,Female,4,NA,16-20,Non-Working Single,No Qualifications,3,Junior non-manual workers,£15001 - £20000,4,Rents (including rents paid by housing benefit),No savings,No,No,270,Get by alright,Homemaker,NA,Intermediate occupations
16000,32,Female,2,NA,31-35,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£15001 - £20000,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,250,Manage quite well,Full-Time,NA,Lower managerial and professional occupations
0,56,Male,10,NA,56-60,Non-Working Single,Highers and A-Levels (SVQ Level 3),9,Inadequately described and not stated,£30001 - £40000,10,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,250,Get by alright,Disabled,NA,Not classified
20000,50,Male,2,5,46-50,"Couple, one works",Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Own it outright,"£1,000 or more",No,No,NA,Manage quite well,Full-Time,Retired,Lower managerial and professional occupations
0,36,Female,8,8,31-35,"Couple, neither work",Degree and Professional Qualifications (SVQ Level 4),9,Inadequately described and not stated,NA,8,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,680,Get by alright,Student,Student,Not classified
15000,26,Male,3,NA,26-30,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),7,Personal service workers,£15001 - £20000,3,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,400,Get by alright,Part-Time,NA,Routine occupations
34000,43,Male,2,2,41-45,Working Couple,Highers and A-Levels (SVQ Level 3),2,Employers and managers - small establishments,£30001 - £40000,2,Rents (including rents paid by housing benefit),"Less than £1,000",Yes,No,850,Manage quite well,Full-Time,Full-Time,Lower managerial and professional occupations
36000,31,Male,2,NA,31-35,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",No,No,700,Manage very well,Full-Time,NA,Higher managerial and professional occupations
12000,52,Female,2,NA,51-55,Single Working Adult,Highers and A-Levels (SVQ Level 3),7,Unskilled manual workers,£10001 -£15000,2,Rents (including rents paid by housing benefit),"Less than £1,000",No,No,650,Get by alright,Full-Time,NA,Routine occupations
13000,46,Male,2,4,26-30,"Couple, one works",No Qualifications,7,Skilled manual workers,£20001 - £25000,4,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,350,Get by alright,Full-Time,Homemaker,Routine occupations
34000,36,Male,2,2,31-35,Working Couple,Degree and Professional Qualifications (SVQ Level 4),6,Junior non-manual workers,£30001 - £40000,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,590,Manage quite well,Full-Time,Full-Time,Semi-routine occupations
0,32,Female,10,NA,31-35,Non-Working Single,Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,£15001 - £20000,10,Rents (including rents paid by housing benefit),No savings,No,No,330,Don't manage very well,Disabled,NA,Not classified
27000,45,Female,2,NA,41-45,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),4,Own account workers (other than professional),£25001 - £30000,2,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,1000,Manage very well,Full-Time,NA,Small employers and own account workers
19000,22,Female,2,NA,21-25,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£15001 - £20000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,580,Manage quite well,Full-Time,NA,Higher managerial and professional occupations
18000,27,Male,2,NA,26-30,Single Working Adult,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£15001 - £20000,2,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,700,Get by alright,Full-Time,NA,Lower managerial and professional occupations
41000,30,Male,2,3,26-30,Working Couple,Degree and Professional Qualifications (SVQ Level 4),2,Intermediate non-manual workers,£40001,2,Buying with mortgage/loan,No savings,Yes,No,550,Get by alright,Full-Time,Part-Time,Lower managerial and professional occupations
0,35,Female,4,NA,31-35,Non-Working Single,Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,£15001 - £20000,4,Rents (including rents paid by housing benefit),No savings,No,No,390,Get by alright,Homemaker,NA,Not classified
34000,47,Male,2,3,41-45,Working Couple,HNC/HND (SVQ Level 4),6,Semi-skilled manual workers,£30001 - £40000,3,Buying with mortgage/loan,"£1,000 or more",Yes,No,450,Manage quite well,Full-Time,Part-Time,Semi-routine occupations
0,64,Female,5,NA,61-65,Non-Working Single,Standard Grade (SVQ Level 1 and 2),9,Inadequately described and not stated,NA,5,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,370,Don't manage very well,Retired,NA,Not classified
0,59,Female,5,NA,56-60,Non-Working Single,Highers and A-Levels (SVQ Level 3),9,Inadequately described and not stated,NA,5,Own it outright,"£1,000 or more",Yes,No,NA,Manage quite well,Retired,NA,Not classified
0,58,Male,2,4,51-55,"Couple, one works",HNC/HND (SVQ Level 4),9,Inadequately described and not stated,NA,4,Rents (including rents paid by housing benefit),"£1,000 or more",Yes,No,360,Get by alright,Full-Time,Homemaker,Not classified
19000,53,Female,3,NA,51-55,Single Working Adult,Highers and A-Levels (SVQ Level 3),2,Intermediate non-manual workers,£20001 - £25000,3,Rents (including rents paid by housing benefit),"£1,000 or more",No,No,950,Have some financial difficulties,Part-Time,NA,Lower managerial and professional occupations
62000,51,Male,2,2,46-50,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,1000,Manage very well,Full-Time,Full-Time,Higher managerial and professional occupations
62000,45,Male,2,3,41-45,Working Couple,HNC/HND (SVQ Level 4),2,Employers and managers - small establishments,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,1000,Manage very well,Full-Time,Part-Time,Lower managerial and professional occupations
42000,30,Male,2,8,26-30,"Couple, one works",Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£40001,2,Buying with mortgage/loan,"£1,000 or more",No,No,740,Manage quite well,Full-Time,Student,Higher managerial and professional occupations
34000,36,Female,2,2,36-40,Working Couple,Degree and Professional Qualifications (SVQ Level 4),1,Professional workers - employees,£40001,2,Buying with mortgage/loan,"£1,000 or more",Yes,No,250,Manage very well,Full-Time,Full-Time,Higher managerial and professional occupations
18000,28,Female,3,NA,26-30,Single Working Adult,Other Qualifications,5,Semi-skilled manual workers,£25001 - £30000,3,Rents (including rents paid by housing benefit),No savings,No,No,340,Get by alright,Part-Time,NA,Lower supervisory and technical occupations
